ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
1,1,hiʐitakã,grate632,false,expert,Chacon2018,h   i   -   ʐ   i   t   a   k   ã   -,,Chacon2018
2,2,phiɽike,grate632,false,expert,Chacon2018,p ʰ   i   -   ɽ   i   k   e   -   -   -,,Chacon2018
3,3,phieʐita,grate632,false,expert,Chacon2018,p ʰ   i   e   ʐ   i   t   a   -   -   -,,Chacon2018
4,4,pakʰakənĩpɛ,grate636,false,expert,Chacon2018,,,Chacon2018
5,5,idaitakada,grate630,false,expert,Chacon2018,i   d   a   i   t   a   k   a   d   a,,Chacon2018
6,6,daitaketi,grate630,false,expert,Chacon2018,# N A M E ?,,Chacon2018
7,7,idaitaketi,grate630,false,expert,Chacon2018,i   d   a   i   t   a   k   e   t   i,,Chacon2018
8,8,feritaka,grate632,false,expert,Chacon2018,f   e   -   ɾ   i   t   a   k   a   -,,Chacon2018
9,9,piakaɾa,grate637,false,expert,Chacon2018,,,Chacon2018
10,10,tedzudaɽi,hairy689,false,expert,Chacon2018,t   -   e   d z   u   d   a   ɽ   i,,Chacon2018
11,11,keːdzukɛhɛ̃,hairy689,false,expert,Chacon2018,k   -   e ː   d z   u   k   ɛ   h   ɛ ̃,,Chacon2018
12,12,nuidzo,hairy689,false,expert,Chacon2018,n   u   i   d z   o   -   -   -   -,,Chacon2018
13,13,ɽiːja,hairy688,false,expert,Chacon2018,,,Chacon2018
14,14,ɾitʃiaɾim̥əhanipaitɛː,hairy691,false,expert,Chacon2018,ɾ   i   t ʃ   i   a   -   ɾ   i   m ʰ   ə   h   a   n   i   p   a   i   t   ɛ ː,,Chacon2018
15,15,m̥itũhu,hairy692,false,expert,Chacon2018,,,Chacon2018
16,16,ɽʰienahɐ̃,he1632,false,expert,Chacon2018,-   -   -   -   -   ɽ ʰ   i   e   n   a   h   ɐ ̃,,Chacon2018
17,17,ɽia ~ ɽʰia,he1698,false,expert,Chacon2018,,,Chacon2018
