ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
1,,kumadene2,grate,hiʐitakã,hiʐitakã,h i ʐ i t a k ã,,granadillo_ethnographic_2006;silva_discoteca_1961,,
2,,kowaidakenai,grate,phiɽike,phiɽike,pʰ i ɽ i k e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
3,,dzawinai,grate,phieʐita,phieʐita,pʰ i e ʐ i t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
4,,tariana,grate,pakʰakənĩpɛ,pakʰakənĩpɛ,p a kʰ a k ə n ĩ p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
5,,aha,grate,idaitakada,idaitakada,i d a i t a k a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
6,,ehe,grate,daitaketi,daitaketi,d a i t a k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
7,,oho,grate,idaitaketi,idaitaketi,i d a i t a k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
8,,name,grate,feritaka,feritaka,f e ɾ i t a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
9,,werekena,grate,piakaɾa,piakaɾa,p i a k a ɾ a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
10,,waliperi,hairy,tedzudaɽi,tedzudaɽi,t e dz u d a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
11,,hohoodene,hairy,keːdzukɛhɛ̃,keːdzukɛhɛ̃,k eː dz u k ɛ h ɛ̃,,granadillo_ethnographic_2006;silva_discoteca_1961,,
12,,mauliene,hairy,nuidzo,nuidzo,n u i dz o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
13,,kumadene2,hairy,ɽiːja,ɽiːja,ɽ iː j a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
14,,tariana,hairy,ɾitʃiaɾim̥əhanipaitɛː,ɾitʃiaɾim̥əhanipaitɛː,ɾ i tʃ i a ɾ i mʰ ə h a n i p a i t ɛː,,granadillo_ethnographic_2006;silva_discoteca_1961,,
15,,werekena,hairy,m̥itũhu,m̥itũhu,mʰ i t ũ h u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
16,,waliperi,he,ɽʰienahɐ̃,ɽʰienahɐ̃,ɽʰ i e n a h ɐ̃,,granadillo_ethnographic_2006;silva_discoteca_1961,,
17,,hohoodene,he,ɽia ~ ɽʰia,ɽia ~ ɽʰia,ɽ i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
18,,moliwene,he,haːtahɐ̃,haːtahɐ̃,h aː t a h ɐ̃,,granadillo_ethnographic_2006;silva_discoteca_1961,,
19,,mauliene,he,hienahã,hienahã,h i e n a h ã,,granadillo_ethnographic_2006;silva_discoteca_1961,,
20,,kumadene2,he,ɽhia,ɽhia,ɽʰ i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
21,,kowaidakenai,he,ɽia,ɽia,ɽ i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
22,,dzawinai,he,hã,hã,h ã,,granadillo_ethnographic_2006;silva_discoteca_1961,,
23,,tariana,he,n̥ãhanaɾianʊka,n̥ãhanaɾianʊka,nʰ ã h a n a ɾ i a n ʊ k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
24,,aha,he,hlia,hlia,lʰ i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
25,,ehe,he,hlia,hlia,lʰ i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
26,,oho,he,hlia,hlia,lʰ i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
27,,name,he,hlia,hlia,lʰ i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
28,,werekena,he,aɛpaɾo,aɛpaɾo,a ɛ p a ɾ o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
29,,aha,instrumental,liːnai,liːnai,l iː n a i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
30,,ehe,instrumental,liːo,liːo,l iː o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
31,,oho,instrumental,takale,takale,t a k a l e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
32,,name,instrumental,jo,jo,j o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
33,,aha,maniocflourinwater,peritiahamoanai,peritiahamoanai,p e ɾ i t i a h a m o a n a i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
34,,ehe,maniocflourinwater,kamuataka,kamuataka,k a m u a t a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
35,,name,maniocflourinwater,kamuataka,kamuataka,k a m u a t a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
36,,aha,maniocsqueezer,tirolipi,tirolipi,t i ɾ o l i p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
37,,ehe,maniocsqueezer,hiːrina,hiːrina,h iː ɾ i n a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
38,,oho,maniocsqueezer,tirolipi,tirolipi,t i ɾ o l i p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
39,,name,maniocsqueezer,tirolipi,tirolipi,t i ɾ o l i p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
40,,aha,goodmorning,hale waikao,hale waikao,h a l e # w a i k a o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
41,,ehe,goodmorning,heːkuapi waːwika,heːkuapi waːwika,h eː k u a p i # w aː w i k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
42,,oho,goodmorning,haleka waika,haleka waika,h a l e k a # w a i k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
43,,name,goodmorning,hale waiko,hale waiko,h a l e # w a i k o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
44,,kumadene1,riverchanel,taːpu,taːpu,t aː p u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
45,,aha,porrige,peritia,peritia,p e ɾ i t i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
46,,ehe,porrige,patsiaka,patsiaka,p a ts i a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
47,,oho,porrige,patsiaka,patsiaka,p a ts i a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
48,,name,porrige,peritia,peritia,p e ɾ i t i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
49,,kumadene1,sand,kajdakʷɐ,kajdakʷɐ,k a j d a kʷ ɐ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
50,,hohoodene,above,tsɛnonisɛ,tsɛnonisɛ,ts ɛ n o n i s ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
51,,mauliene,above,dzenoʐe,dzenoʐe,dz e n o ʐ e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
52,,kumadene2,above,ɽianihonipe,ɽianihonipe,ɽ i a n i h o n i p e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
53,,kowaidakenai,above,ɽiːkahe,ɽiːkahe,ɽ iː k a h e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
54,,dzawinai,above,ɽiːka,ɽiːka,ɽ iː k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
55,,tariana,above,ĩhienunisɛ,ĩhienunisɛ,ĩ h i e n u n i s ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
56,,aha,above,lieːkuete,lieːkuete,l i eː k u e t e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
57,,ehe,above,linako ~ nako,linako ~ nako,l i n a k o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
58,,oho,above,liekoana,liekoana,l i e k o a n a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
59,,name,above,lieːkuana,lieːkuana,l i eː k u a n a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
60,,werekena,above,niwaba,niwaba,n i w a b a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
61,,aha,afternoon,deːpina,deːpina,d eː p i n a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
62,,ehe,afternoon,deːpina,deːpina,d eː p i n a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
63,,oho,afternoon,deːpina,deːpina,d eː p i n a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
64,,name,afternoon,dainoma,dainoma,d a i n o m a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
65,,waliperi,all,pʰiomɛ,pʰiomɛ,pʰ i o m ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
66,,hohoodene,all,pʰiomɛ,pʰiomɛ,pʰ i o m ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
67,,moliwene,all,pʰiumɛ,pʰiumɛ,pʰ i u m ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
68,,mauliene,all,pʰiumɛ,pʰiumɛ,pʰ i u m ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
69,,kumadene2,all,phiume,phiume,pʰ i u m e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
70,,kowaidakenai,all,kanakuda,kanakuda,k a n a k u d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
71,,dzawinai,all,phiume,phiume,pʰ i u m e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
72,,tariana,all,mehanʊ̃pɛ,mehanʊ̃pɛ,m e h a n ʊ̃ p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
73,,aha,all,piomi,piomi,p i o m i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
74,,ehe,all,padeːniri,padeːniri,p a d eː n i ɾ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
75,,oho,all,padeniri,padeniri,p a d e n i ɾ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
76,,name,all,piomi,piomi,p i o m i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
77,,werekena,all,pajɛɾoi,pajɛɾoi,p a j ɛ ɾ o i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
78,,kumadene2,anaconda,umawaɽi,umawaɽi,u m a w a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
79,,aha,and,sruatsaka ~ liatsaka,sruatsaka ~ liatsaka,s ɾ u a ts a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
80,,ehe,and,nete,nete,n e t e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
81,,oho,and,nete,nete,n e t e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
82,,aha,animal,maːhikali,maːhikali,m aː h i k a l i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
83,,ehe,animal,kufeːti,kufeːti,k u f eː t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
84,,oho,animal,itsiri,itsiri,i ts i ɾ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
85,,name,animal,maːhikali,maːhikali,m aː h i k a l i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
86,,waliperi,arm,nũnaːpa,nũnaːpa,n ũ n aː p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
87,,hohoodene,arm,ɽinapa,ɽinapa,ɽ i n a p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
88,,moliwene,arm,wɐnaːpa,wɐnaːpa,w ɐ n aː p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
89,,mauliene,arm,nunapa,nunapa,n u n a p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
90,,kumadene2,arm,nunaːpa,nunaːpa,n u n aː p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
91,,kumadene1,arm,wakapi,wakapi,w a k a p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
92,,tariana,arm,pakapi,pakapi,p a k a p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
93,,werekena,arm,nanu,nanu,n a n u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
94,,waliperi,ash,ʈidzɛheni,ʈidzɛheni,t i dz ɛ h e n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
95,,hohoodene,ash,paɾiada,paɾiada,p a ɾ i a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
96,,moliwene,ash,paɽiada,paɽiada,p a ɽ i a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
97,,mauliene,ash,paɽi,paɽi,p a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
98,,kumadene2,ash,ɽiphi en hen,ɽiphi en hen,ɽ i pʰ i e n # h e n,,granadillo_ethnographic_2006;silva_discoteca_1961,,
