ID,Name,Concepticon_ID,Concepticon_Gloss,Portuguese_Gloss
grate,grate,,,raspar
hairy,hairy,,,piloso (peludo
he,he,,,ele
instrumental,instrumental,,,instrumental
maniocflourinwater,manioc flour in water,,,chibe
maniocsqueezer,manioc squeezer,,,tipiti
goodmorning,good morning,,,bom dia
riverchanel,river chanel,,,paranã
porrige,porrige,,,mingau
sand,sand,,,Praia
above,above,1741,ABOVE,encima
afternoon,afternoon,1807,AFTERNOON,tarde
all,all,98,ALL,todos
anaconda,anaconda,896,ANACONDA (WATER BOA),cobra-grande
and,and,1577,AND,e
animal,animal,619,ANIMAL,animal
arm,arm,1673,ARM,braço
ash,ash,646,ASH,cinza
back,back,1291,BACK,costas
bad,bad,1292,BAD,mal
bark,bark,1204,BARK,casca
alive,alive,1422,BE ALIVE,vivo
born,born,1090,BE BORN,Nascer
behind,behind,1686,BEHIND,atrás
belly,belly,1251,BELLY,barriga
below,below,1485,BELOW OR UNDER,em baixo
big,big,1202,BIG,grande
bird,bird,937,BIRD,pássaro
bite,bite,1403,BITE,morder
black,black,163,BLACK,preto
blood,blood,946,BLOOD,sangue
blow,blow,176,BLOW (WITH MOUTH),soprar
dull,dull,379,BLUNT,embotado
bone,bone,1394,BONE,osso
boychild,"boy, child",2391,BOY OR SON,menino
breast,breast,1402,BREAST,seio
burn,burn,2102,BURN,queimar
canoe,canoe,1970,CANOE,Canoa
chest,chest,1592,CHEST,peito
clean,clean,704,CLEAN,limpo
cloud,cloud,1489,CLOUD,nuvem
cold,cold,1287,COLD,frio
come,come,1446,COME,vir
cook,cook,1100,COOK (SOMETHING),Cozinhar
corpse,corpse,767,CORPSE,Cadáver
correct,correct,1725,CORRECT (RIGHT),correto
count,count,1420,COUNT,contar
cut,cut,1432,CUT,cortar
dark,dark,706,DARK,escuro
day,day,1260,DAY (24 HOURS),dia
devil,devil,1973,DEMON,Diabo
die,die,1494,DIE,morrer
dig,dig,1418,DIG,cavar
dirty,dirty,1230,DIRTY,sujo
dog,dog,2009,DOG,cachorro
drink,drink,1401,DRINK,beber
dry,dry,1398,DRY,seco
dust,dust,2,DUST,poeira
ear,ear,1247,EAR,orelha
earth,earth,1228,EARTH (SOIL),terra
eat,eat,1336,EAT,comer
egg,egg,744,EGG,ovo
eye,eye,1248,EYE,olho
