ID	DOCULECT	CONCEPT	CONCEPT_PORTUGUESE	CONCEPTICON_ID	CONCEPTICON_GLOSS	ID_IN_TSV	ENTRJ_IN_SOURCE	IPA	TOKENS	SONARSS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTSS	DUPLICATES	COGID	ALIGNMENT	NOTAS
757	Tariana	four	quatro	1500	FOUR	73	~kehkunĩpɛ	kehkunĩpɛ	k e h k u n ĩ p ɛ	1 7 3 1 7 4 7 1 7	AXMBYBYBZ	KEHKYNIPE	12	12.K.C 12.E.V 12.H.c 12.K.C 12.Y.V 12.N.C 12.I.V 12.P.C 12.E.V	2.0 1.5 1.1 1.75 1.3 1.75 1.3 1.75 0.8	0	575		?
753	Moliwene	four	quatro	1500	FOUR	73	koadaka	koadaka	k o a d a k a	1 7 7 1 7 1 7	AXYBYBZ	KUATAKA	2	2.K.C 2.U.V 2.A.V 2.T.C 2.A.V 2.K.C 2.A.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	0	571	- - k o a d a k a - - -	?
754	Mauliene	four	quatro	1500	FOUR	73	koadáka	koadáka	k o a d a k a	1 7 7 1 7 1 7	AXYBYBZ	KUATAKA	8	8.K.C 8.U.V 8.A.V 8.T.C 8.A.V 8.K.C 8.A.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	0	571	- - k o a d a k a - - -	?
756	Kumadene_1	four	quatro	1500	FOUR	73	koehponĩpɛ	koehponĩpɛ	k o e h p o n ĩ p ɛ	1 7 7 3 1 7 4 7 1 7	AXYMBYBYBZ	KUEHPUNIPE	6	6.K.C 6.U.V 6.E.V 6.H.c 6.P.C 6.U.V 6.N.C 6.I.V 6.P.C 6.E.V	2.0 1.5 1.3 1.1 1.75 1.3 1.75 1.3 1.75 0.8	0	575		?
761	Ñame	four	quatro	1500	FOUR	73	kuatroda	kuatroda	k u a t ɾ o d a	1 7 7 1 5 7 1 7	AXYBCYBZ	KYATRUTA	9	9.K.C 9.Y.V 9.A.V 9.T.C 9.R.C 9.U.V 9.T.C 9.A.V	2.0 1.5 1.3 1.75 1.5 1.3 1.75 0.8	0	578		?
760	Oho	four	quatro	1500	FOUR	73	kuatroda	kuatroda	k u a t ɾ o d a	1 7 7 1 5 7 1 7	AXYBCYBZ	KYATRUTA	10	10.K.C 10.Y.V 10.A.V 10.T.C 10.R.C 10.U.V 10.T.C 10.A.V	2.0 1.5 1.3 1.75 1.5 1.3 1.75 0.8	0	578		?
755	Kumadene_2	four	quatro	1500	FOUR	73	kwadakawda	kwadakawda	kʷ a d a k a w d a	1 7 1 7 1 7 6 1 7	AXBYBYMBZ	KATAKAWTA	7	7.K.C 7.A.V 7.T.C 7.A.V 7.K.C 7.A.V 7.W.c 7.T.C 7.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.1 1.75 0.8	0	571	- - kʷ a - d a k a w d a	?
762	Werekena	four	quatro	1500	FOUR	73	kwatɾʊ	kwatɾʊ	kʷ a t ɾ ʊ	1 7 1 5 7	AXBCZ	KATRY	13	13.K.C 13.A.V 13.T.C 13.R.C 13.Y.V	2.0 1.5 1.75 1.5 0.8	0	578		?
758	Aha	four	quatro	1500	FOUR	73	likuadaːka	likuadaːka	l i k u a d aː k a	5 7 1 7 7 1 7 1 7	AXBYYBYBZ	LIKYATAKA	1	1.L.C 1.I.V 1.K.C 1.Y.V 1.A.V 1.T.C 1.A.V 1.K.C 1.A.V	2.0 1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8	0	571	l i k u a d aː k a - - -	?
759	Ehe	four	quatro	1500	FOUR	73	likuadaːka	likuadaːka	l i k u a d aː k a	5 7 1 7 7 1 7 1 7	AXBYYBYBZ	LIKYATAKA	3	3.L.C 3.I.V 3.K.C 3.Y.V 3.A.V 3.T.C 3.A.V 3.K.C 3.A.V	2.0 1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8	0	571	l i k u a d aː k a - - -	?
